Sales Domain.[All Sales Domain],Sales Domain.[Division],Sales Domain.[Channel Group],Sales Domain.[Channel],Sales Domain.[Customer Group],Sales Domain.[Sold To]
ALL,ALL,0005992595,0005992595,0005992595,0004497243
ALL,ALL,0005992595,0005992595,0005992595,0004497244
ALL,ALL,0005992595,0005992595,0005992595,0004497245
ALL,ALL,0005992595,0005992595,0005992595,0004497246
ALL,ALL,0005992595,0005992595,0005992595,0004497247
ALL,ALL,0005992595,0005992595,0005992595,0004497248
ALL,ALL,0005992595,0005992595,0005992595,0004497249
ALL,ALL,0005992595,0005992595,0005992595,0004497250
ALL,ALL,0005992595,0005992595,0005992595,0004497251
ALL,ALL,0005992595,0005992595,0005992595,0004497252
ALL,ALL,0005992595,0005992595,0005992595,0004497253
ALL,ALL,0005992595,0005992595,0005992595,0004497254
ALL,ALL,0005992595,0005992595,0005992595,0004497255
ALL,ALL,0005992595,0005992595,0005992595,0004497256
ALL,ALL,0005992595,0005992595,0005992595,0004497257
ALL,ALL,0005992595,0005992595,0005992595,0004497258
ALL,ALL,0005992595,0005992595,0005992595,0004497259
ALL,ALL,0005992595,0005992595,0005992595,0004497260
ALL,ALL,0005992595,0005992595,0005992595,0004497261
ALL,ALL,0005992595,0005992595,0005992595,0004497262
ALL,ALL,0005992595,0005992595,0005992595,0004497263
ALL,ALL,0005992595,0005992595,0005992595,0004497264
ALL,ALL,0005992595,0005992595,0005992595,0004497265
ALL,ALL,0005992595,0005992595,0005992595,0004497266
ALL,ALL,0005992595,0005992595,0005992595,0004497267
ALL,ALL,0005992595,0005992595,0005992595,0004497268
ALL,ALL,0005992595,0005992595,0005992595,0004497269
ALL,ALL,0005992595,0005992595,0005992595,0004497270
ALL,ALL,0005992595,0005992595,0005992595,0004497271
ALL,ALL,0005992595,0005992595,0005992595,0004497272
ALL,ALL,0005992595,0005992595,0005992595,0004497273
ALL,ALL,0005992595,0005992595,0005992595,0004497274
ALL,ALL,0005992595,0005992595,0005992595,0004497275
ALL,ALL,0005992595,0005992595,0005992595,0004497276
ALL,ALL,0005992595,0005992595,0005992595,0004497277
ALL,ALL,0005992595,0005992595,0005992595,0004497278
ALL,ALL,0005992595,0005992595,0005992595,0004497279
ALL,ALL,0005992595,0005992595,0005992595,0004497280
ALL,ALL,0005992595,0005992595,0005992595,0004497281
ALL,ALL,0005992595,0005992595,0005992595,0004497282
ALL,ALL,0005992595,0005992595,0005992595,0004497283
ALL,ALL,0005992595,0005992595,0005992595,0004497284
ALL,ALL,0005992595,0005992595,0005992595,0004497285
ALL,ALL,0005992595,0005992595,0005992595,0004497286
ALL,ALL,0005992595,0005992595,0005992595,0004497287
ALL,ALL,0005992595,0005992595,0005992595,0004497288
ALL,ALL,0005992595,0005992595,0005992595,0004497289
ALL,ALL,0005992595,0005992595,0005992595,0004497290
ALL,ALL,0005992595,0005992595,0005992595,0004497291
ALL,ALL,0005992595,0005992595,0005992595,0004497292
ALL,ALL,0005992595,0005992595,0005992595,0004497293
ALL,ALL,0005992595,0005992595,0005992595,0004497294
ALL,ALL,0005992595,0005992595,0005992595,0004497295
ALL,ALL,0005992595,0005992595,0005992595,0004497296
ALL,ALL,0005992595,0005992595,0005992595,0004497297
ALL,ALL,0005992595,0005992595,0005992595,0004497298
ALL,ALL,0005992595,0005992595,0005992595,0004497299
ALL,ALL,0005992595,0005992595,0005992595,0004497300
ALL,ALL,0005992595,0005992595,0005992595,0004497301
ALL,ALL,0005992595,0005992595,0005992595,0004497302
ALL,ALL,0005992595,0005992595,0005992595,0004497303
ALL,ALL,0005992595,0005992595,0005992595,0004497304
ALL,ALL,0005992595,0005992595,0005992595,0004497305
ALL,ALL,0005992595,0005992595,0005992595,0004497306
ALL,ALL,0005992595,0005992595,0005992595,0004497307
ALL,ALL,0005992595,0005992595,0005992595,0004497308
ALL,ALL,0005992595,0005992595,0005992595,0004497309
ALL,ALL,0005992595,0005992595,0005992595,0004497310
ALL,ALL,0005992595,0005992595,0005992595,0004497311
ALL,ALL,0005992595,0005992595,0005992595,0004497312
ALL,ALL,0005992595,0005992595,0005992595,0004497313
ALL,ALL,0005992595,0005992595,0005992595,0004497314
ALL,ALL,0005992595,0005992595,0005992595,0004497315
ALL,ALL,0005992595,0005992595,0005992595,0004497316
ALL,ALL,0005992595,0005992595,0005992595,0004497317
ALL,ALL,0005992595,0005992595,0005992595,0004497318
ALL,ALL,0005992595,0005992595,0005992595,0004497319
ALL,ALL,0005992595,0005992595,0005992595,0004497320
ALL,ALL,0005992595,0005992595,0005992595,0004497321
ALL,ALL,0005992595,0005992595,0005992595,0004497322
ALL,ALL,0005992595,0005992595,0005992595,0004497323
ALL,ALL,0005992595,0005992595,0005992595,0004497324
ALL,ALL,0005992595,0005992595,0005992595,0004497325
ALL,ALL,0005992595,0005992595,0005992595,0004497326
ALL,ALL,0005992595,0005992595,0005992595,0004497327
ALL,ALL,0005992595,0005992595,0005992595,0004497328
ALL,ALL,0005992595,0005992595,0005992595,0004497329
ALL,ALL,0005992595,0005992595,0005992595,0004497330
ALL,ALL,0005992595,0005992595,0005992595,0004497331
ALL,ALL,0005992595,0005992595,0005992595,0004497332
ALL,ALL,0005992595,0005992595,0005992595,0004497333
ALL,ALL,0005992595,0005992595,0005992595,0004497334
ALL,ALL,0005992595,0005992595,0005992595,0004497335
ALL,ALL,0005992595,0005992595,0005992595,0004497336
ALL,ALL,0005992595,0005992595,0005992595,0004497337
ALL,ALL,0005992595,0005992595,0005992595,0004497338
ALL,ALL,0005992595,0005992595,0005992595,0004497339
ALL,ALL,0005992595,0005992595,0005992595,0004497340
ALL,ALL,0005992595,0005992595,0005992595,0004497341
ALL,ALL,0005992595,0005992595,0005992595,0004497342
ALL,ALL,0005992595,0005992595,0005992595,0004497343
ALL,ALL,0005992595,0005992595,0005992595,0004497344
ALL,ALL,0005992595,0005992595,0005992595,0004497345
ALL,ALL,0005992595,0005992595,0005992595,0004497346
ALL,ALL,0005992595,0005992595,0005992595,0004497347
ALL,ALL,0005992595,0005992595,0005992595,0004497348
ALL,ALL,0005992595,0005992595,0005992595,0004497349
ALL,ALL,0005992595,0005992595,0005992595,0004497350
ALL,ALL,0005992595,0005992595,0005992595,0004497351
ALL,ALL,0005992595,0005992595,0005992595,0004497352
ALL,ALL,0005992595,0005992595,0005992595,0004497353
ALL,ALL,0005992595,0005992595,0005992595,0004497354
ALL,ALL,0005992595,0005992595,0005992595,0004497355
ALL,ALL,0005992595,0005992595,0005992595,0004497356
ALL,ALL,0005992595,0005992595,0005992595,0004497357
ALL,ALL,0005992595,0005992595,0005992595,0004497358
ALL,ALL,0005992595,0005992595,0005992595,0004497359
ALL,ALL,0005992595,0005992595,0005992595,0004497360
ALL,ALL,0005992595,0005992595,0005992595,0004497361
ALL,ALL,0005992595,0005992595,0005992595,0004497362
ALL,ALL,0005992595,0005992595,0005992595,0004497363
ALL,ALL,0005992595,0005992595,0005992595,0004497364
ALL,ALL,0005992595,0005992595,0005992595,0004497365
ALL,ALL,0005992595,0005992595,0005992595,0004497366
ALL,ALL,0005992595,0005992595,0005992595,0004497367
ALL,ALL,0005992595,0005992595,0005992595,0004497368
ALL,ALL,0005992595,0005992595,0005992595,0004497369
ALL,ALL,0005992595,0005992595,0005992595,0004497370
ALL,ALL,0005992595,0005992595,0005992595,0004497372
ALL,ALL,0005992595,0005992595,0005992595,0004497373
ALL,ALL,0005992595,0005992595,0005992595,0004497374
ALL,ALL,0005992595,0005992595,0005992595,0004497375
ALL,ALL,0005992595,0005992595,0005992595,0004497376
ALL,ALL,0005992595,0005992595,0005992595,0004497377
ALL,ALL,0005992595,0005992595,0005992595,0004497378
ALL,ALL,0005992595,0005992595,0005992595,0004497379
ALL,ALL,0005992595,0005992595,0005992595,0004497380
ALL,ALL,0005992595,0005992595,0005992595,0004497381
ALL,ALL,0005992595,0005992595,0005992595,0004497382
ALL,ALL,0005992595,0005992595,0005992595,0004497383
ALL,ALL,0005992595,0005992595,0005992595,0004497384
ALL,ALL,0005992595,0005992595,0005992595,0004497385
ALL,ALL,0005992595,0005992595,0005992595,0004497386
ALL,ALL,0005992595,0005992595,0005992595,0004497387
ALL,ALL,0005992595,0005992595,0005992595,0004497388
ALL,ALL,0005992595,0005992595,0005992595,0004497389
ALL,ALL,0005992595,0005992595,0005992595,0004497390
ALL,ALL,0005992595,0005992595,0005992595,0004497391
ALL,ALL,0005992595,0005992595,0005992595,0004497392
ALL,ALL,0005992595,0005992595,0005992595,0004497393
ALL,ALL,0005992595,0005992595,0005992595,0004497394
ALL,ALL,0005992595,0005992595,0005992595,0004497395
ALL,ALL,0005992595,0005992595,0005992595,0004497396
ALL,ALL,0005992595,0005992595,0005992595,0004497397
ALL,ALL,0005992595,0005992595,0005992595,0004497398
ALL,ALL,0005992595,0005992595,0005992595,0004497399
ALL,ALL,0005992595,0005992595,0005992595,0004497400
ALL,ALL,0005992595,0005992595,0005992595,0004497401
ALL,ALL,0005992595,0005992595,0005992595,0004497402
ALL,ALL,0005992595,0005992595,0005992595,0004497403
ALL,ALL,0005992595,0005992595,0005992595,0004497404
ALL,ALL,0005992595,0005992595,0005992595,0004497405
ALL,ALL,0005992595,0005992595,0005992595,0004497406
ALL,ALL,0005992595,0005992595,0005992595,0004497407
ALL,ALL,0005992595,0005992595,0005992595,0004497408
ALL,ALL,0005992595,0005992595,0005992595,0004497409
ALL,ALL,0005992595,0005992595,0005992595,0004497410
ALL,ALL,0005992595,0005992595,0005992595,0004497411
ALL,ALL,0005992595,0005992595,0005992595,0004497412
ALL,ALL,0005992595,0005992595,0005992595,0004497413
ALL,ALL,0005992595,0005992595,0005992595,0004497414
ALL,ALL,0005992595,0005992595,0005992595,0004497415
ALL,ALL,0005992595,0005992595,0005992595,0004497416
ALL,ALL,0005992595,0005992595,0005992595,0004497417
ALL,ALL,0005992595,0005992595,0005992595,0004497418
ALL,ALL,0005992595,0005992595,0005992595,0004497419
ALL,ALL,0005992595,0005992595,0005992595,0004497420
ALL,ALL,0005992595,0005992595,0005992595,0004497421
ALL,ALL,0005992595,0005992595,0005992595,0004497422
ALL,ALL,0005992595,0005992595,0005992595,0004497423
ALL,ALL,0005992595,0005992595,0005992595,0004497424
ALL,ALL,0005992595,0005992595,0005992595,0004497425
ALL,ALL,0005992595,0005992595,0005992595,0004497426
ALL,ALL,0005992595,0005992595,0005992595,0004497427
ALL,ALL,0005992595,0005992595,0005992595,0004497429
ALL,ALL,0005992595,0005992595,0005992595,0004497430
ALL,ALL,0005992595,0005992595,0005992595,0004497431
ALL,ALL,0005992595,0005992595,0005992595,0004497432
ALL,ALL,0005992595,0005992595,0005992595,0004497433
ALL,ALL,0005992595,0005992595,0005992595,0004497434
ALL,ALL,0005992595,0005992595,0005992595,0004497435
ALL,ALL,0005992595,0005992595,0005992595,0004497436
ALL,ALL,0005992595,0005992595,0005992595,0004497437
ALL,ALL,0005992595,0005992595,0005992595,0004497438
ALL,ALL,0005992595,0005992595,0005992595,0004497439
ALL,ALL,0005992595,0005992595,0005992595,0004497440
ALL,ALL,0005992595,0005992595,0005992595,0004497441
ALL,ALL,0005992595,0005992595,0005992595,0004497442
ALL,ALL,0005992595,0005992595,0005992595,0004497443
ALL,ALL,0005992595,0005992595,0005992595,0004497444
ALL,ALL,0005992595,0005992595,0005992595,0004497445
ALL,ALL,0005992595,0005992595,0005992595,0004497446
ALL,ALL,0005992595,0005992595,0005992595,0004497447
ALL,ALL,0005992595,0005992595,0005992595,0004497448
ALL,ALL,0005992595,0005992595,0005992595,0004497449
ALL,ALL,0005992595,0005992595,0005992595,0004497450
ALL,ALL,0005992595,0005992595,0005992595,0004497451
ALL,ALL,0005992595,0005992595,0005992595,0004497452
ALL,ALL,0005992595,0005992595,0005992595,0004497453
ALL,ALL,0005992595,0005992595,0005992595,0004497454
ALL,ALL,0005992595,0005992595,0005992595,0004497455
ALL,ALL,0005992595,0005992595,0005992595,0004497456
ALL,ALL,0005992595,0005992595,0005992595,0004497457
ALL,ALL,0005992595,0005992595,0005992595,0004497458
ALL,ALL,0005992595,0005992595,0005992595,0004497459
ALL,ALL,0005992595,0005992595,0005992595,0004497460
ALL,ALL,0005992595,0005992595,0005992595,0004497461
ALL,ALL,0005992595,0005992595,0005992595,0004497462
ALL,ALL,0005992595,0005992595,0005992595,0004497463
ALL,ALL,0005992595,0005992595,0005992595,0004497464
ALL,ALL,0005992595,0005992595,0005992595,0004497465
ALL,ALL,0005992595,0005992595,0005992595,0004497466
ALL,ALL,0005992595,0005992595,0005992595,0004497467
ALL,ALL,0005992595,0005992595,0005992595,0004497468
ALL,ALL,0005992595,0005992595,0005992595,0004497469
ALL,ALL,0005992595,0005992595,0005992595,0004497471
ALL,ALL,0005992595,0005992595,0005992595,0004497472
ALL,ALL,0005992595,0005992595,0005992595,0004497473
ALL,ALL,0005992595,0005992595,0005992595,0004497475
ALL,ALL,0005992595,0005992595,0005992595,0004497476
ALL,ALL,0005992595,0005992595,0005992595,0004497477
ALL,ALL,0005992595,0005992595,0005992595,0004497478
ALL,ALL,0005992595,0005992595,0005992595,0004497479
ALL,ALL,0005992595,0005992595,0005992595,0004497480
ALL,ALL,0005992595,0005992595,0005992595,0004497481
ALL,ALL,0005992595,0005992595,0005992595,0004497482
ALL,ALL,0005992595,0005992595,0005992595,0004497483
ALL,ALL,0005992595,0005992595,0005992595,0004497484
ALL,ALL,0005992595,0005992595,0005992595,0004497485
ALL,ALL,0005992595,0005992595,0005992595,0004497486
ALL,ALL,0005992595,0005992595,0005992595,0004497487
ALL,ALL,0005992595,0005992595,0005992595,0004497488
ALL,ALL,0005992595,0005992595,0005992595,0004497489
ALL,ALL,0005992595,0005992595,0005992595,0004497490
ALL,ALL,0005992595,0005992595,0005992595,0004497491
ALL,ALL,0005992595,0005992595,0005992595,0004497492
ALL,ALL,0005992595,0005992595,0005992595,0004497493
ALL,ALL,0005992595,0005992595,0005992595,0004497494
ALL,ALL,0005992595,0005992595,0005992595,0004497495
ALL,ALL,0005992595,0005992595,0005992595,0004497496
ALL,ALL,0005992595,0005992595,0005992595,0004497497
ALL,ALL,0005992595,0005992595,0005992595,0004497498
ALL,ALL,0005992595,0005992595,0005992595,0004497499
ALL,ALL,0005992595,0005992595,0005992595,0004497500
ALL,ALL,0005992595,0005992595,0005992595,0004497501
ALL,ALL,0005992595,0005992595,0005992595,0004497502
ALL,ALL,0005992595,0005992595,0005992595,0004497503
ALL,ALL,0005992595,0005992595,0005992595,0004497504
ALL,ALL,0005992595,0005992595,0005992595,0004497505
ALL,ALL,0005992595,0005992595,0005992595,0004497507
ALL,ALL,0005992595,0005992595,0005992595,0004497508
ALL,ALL,0005992595,0005992595,0005992595,0004497509
ALL,ALL,0005992595,0005992595,0005992595,0004497510
ALL,ALL,0005992595,0005992595,0005992595,0004497511
ALL,ALL,0005992595,0005992595,0005992595,0004497512
ALL,ALL,0005992595,0005992595,0005992595,0004497513
ALL,ALL,0005992595,0005992595,0005992595,0004497514
ALL,ALL,0005992595,0005992595,0005992595,0004497515
ALL,ALL,0005992595,0005992595,0005992595,0004497516
ALL,ALL,0005992595,0005992595,0005992595,0004497517
ALL,ALL,0005992595,0005992595,0005992595,0004497518
ALL,ALL,0005992595,0005992595,0005992595,0004497519
ALL,ALL,0005992595,0005992595,0005992595,0004497520
ALL,ALL,0005992595,0005992595,0005992595,0004497521
ALL,ALL,0005992595,0005992595,0005992595,0004497522
ALL,ALL,0005992595,0005992595,0005992595,0004497523
ALL,ALL,0005992595,0005992595,0005992595,0004497524
ALL,ALL,0005992595,0005992595,0005992595,0004497525
ALL,ALL,0005992595,0005992595,0005992595,0004497526
ALL,ALL,0005992595,0005992595,0005992595,0004497527
ALL,ALL,0005992595,0005992595,0005992595,0004497528
ALL,ALL,0005992595,0005992595,0005992595,0004497529
ALL,ALL,0005992595,0005992595,0005992595,0004497530
ALL,ALL,0005992595,0005992595,0005992595,0004497531
ALL,ALL,0005992595,0005992595,0005992595,0004497532
ALL,ALL,0005992595,0005992595,0005992595,0004497533
ALL,ALL,0005992595,0005992595,0005992595,0004497534
ALL,ALL,0005992595,0005992595,0005992595,0004497535
ALL,ALL,0005992595,0005992595,0005992595,0004497536
ALL,ALL,0005992595,0005992595,0005992595,0004497537
ALL,ALL,0005992595,0005992595,0005992595,0004497538
ALL,ALL,0005992595,0005992595,0005992595,0004497539
ALL,ALL,0005992595,0005992595,0005992595,0004497540
ALL,ALL,0005992595,0005992595,0005992595,0004497541
ALL,ALL,0005992595,0005992595,0005992595,0004497542
ALL,ALL,0005992595,0005992595,0005992595,0004497543
ALL,ALL,0005992595,0005992595,0005992595,0004497544
ALL,ALL,0005992595,0005992595,0005992595,0004497545
ALL,ALL,0005992595,0005992595,0005992595,0004497546
ALL,ALL,0005992595,0005992595,0005992595,0004497547
ALL,ALL,0005992595,0005992595,0005992595,0004497548
ALL,ALL,0005992595,0005992595,0005992595,0004497549
ALL,ALL,0005992595,0005992595,0005992595,0004497550
ALL,ALL,0005992595,0005992595,0005992595,0004497551
ALL,ALL,0005992595,0005992595,0005992595,0004497552
ALL,ALL,0005992595,0005992595,0005992595,0004497553
ALL,ALL,0005992595,0005992595,0005992595,0004497554
ALL,ALL,0005992595,0005992595,0005992595,0004497555
ALL,ALL,0005992595,0005992595,0005992595,0004497557
ALL,ALL,0005992595,0005992595,0005992595,0004497558
ALL,ALL,0005992595,0005992595,0005992595,0004497559
ALL,ALL,0005992595,0005992595,0005992595,0004497560
ALL,ALL,0005992595,0005992595,0005992595,0004497561
ALL,ALL,0005992595,0005992595,0005992595,0004497562
ALL,ALL,0005992595,0005992595,0005992595,0004497563
ALL,ALL,0005992595,0005992595,0005992595,0004497564
ALL,ALL,0005992595,0005992595,0005992595,0004497565
ALL,ALL,0005992595,0005992595,0005992595,0004497566
ALL,ALL,0005992595,0005992595,0005992595,0004497567
ALL,ALL,0005992595,0005992595,0005992595,0004497568
ALL,ALL,0005992595,0005992595,0005992595,0004497569
ALL,ALL,0005992595,0005992595,0005992595,0004497570
ALL,ALL,0005992595,0005992595,0005992595,0004497571
ALL,ALL,0005992595,0005992595,0005992595,0004497572
ALL,ALL,0005992595,0005992595,0005992595,0004497573
ALL,ALL,0005992595,0005992595,0005992595,0004497574
ALL,ALL,0005992595,0005992595,0005992595,0004497575
ALL,ALL,0005992595,0005992595,0005992595,0004497576
ALL,ALL,0005992595,0005992595,0005992595,0004497577
ALL,ALL,0005992595,0005992595,0005992595,0004497578
ALL,ALL,0005992595,0005992595,0005992595,0004497579
ALL,ALL,0005992595,0005992595,0005992595,0004497580
ALL,ALL,0005992595,0005992595,0005992595,0004497581
ALL,ALL,0005992595,0005992595,0005992595,0004497582
ALL,ALL,0005992595,0005992595,0005992595,0004497583
ALL,ALL,0005992595,0005992595,0005992595,0004497584
ALL,ALL,0005992595,0005992595,0005992595,0004497585
ALL,ALL,0005992595,0005992595,0005992595,0004497586
ALL,ALL,0005992595,0005992595,0005992595,0004497587
ALL,ALL,0005992595,0005992595,0005992595,0004497588
ALL,ALL,0005992595,0005992595,0005992595,0004497589
ALL,ALL,0005992595,0005992595,0005992595,0004497590
ALL,ALL,0005992595,0005992595,0005992595,0004497591
ALL,ALL,0005992595,0005992595,0005992595,0004497592
ALL,ALL,0005992595,0005992595,0005992595,0004497593
ALL,ALL,0005992595,0005992595,0005992595,0004497594
ALL,ALL,0005992595,0005992595,0005992595,0004497595
ALL,ALL,0005992595,0005992595,0005992595,0004497596
ALL,ALL,0005992595,0005992595,0005992595,0004497597
ALL,ALL,0005992595,0005992595,0005992595,0004497598
ALL,ALL,0005992595,0005992595,0005992595,0004497599
ALL,ALL,0005992595,0005992595,0005992595,0004497600
ALL,ALL,0005992595,0005992595,0005992595,0004497601
ALL,ALL,0005992595,0005992595,0005992595,0004497602
ALL,ALL,0005992595,0005992595,0005992595,0004497603
ALL,ALL,0005992595,0005992595,0005992595,0004497604
ALL,ALL,0005992595,0005992595,0005992595,0004497605
ALL,ALL,0005992595,0005992595,0005992595,0004497606
ALL,ALL,0005992595,0005992595,0005992595,0004497607
ALL,ALL,0005992595,0005992595,0005992595,0004497608
ALL,ALL,0005992595,0005992595,0005992595,0004497609
ALL,ALL,0005992595,0005992595,0005992595,0004497610
ALL,ALL,0005992595,0005992595,0005992595,0004497611
ALL,ALL,0005992595,0005992595,0005992595,0004497612
ALL,ALL,0005992595,0005992595,0005992595,0004497613
ALL,ALL,0005992595,0005992595,0005992595,0004497614
ALL,ALL,0005992595,0005992595,0005992595,0004497615
ALL,ALL,0005992595,0005992595,0005992595,0004497616
ALL,ALL,0005992595,0005992595,0005992595,0004497617
ALL,ALL,0005992595,0005992595,0005992595,0004497618
ALL,ALL,0005992595,0005992595,0005992595,0004497619
ALL,ALL,0005992595,0005992595,0005992595,0004497620
ALL,ALL,0005992595,0005992595,0005992595,0004497621
ALL,ALL,0005992595,0005992595,0005992595,0004497622
ALL,ALL,0005992595,0005992595,0005992595,0004497623
ALL,ALL,0005992595,0005992595,0005992595,0004497624
ALL,ALL,0005992595,0005992595,0005992595,0004497625
ALL,ALL,0005992595,0005992595,0005992595,0004497626
ALL,ALL,0005992595,0005992595,0005992595,0004497627
ALL,ALL,0005992595,0005992595,0005992595,0004497628
ALL,ALL,0005992595,0005992595,0005992595,0004497629
ALL,ALL,0005992595,0005992595,0005992595,0004497630
ALL,ALL,0005992595,0005992595,0005992595,0004497631
ALL,ALL,0005992595,0005992595,0005992595,0004497632
ALL,ALL,0005992595,0005992595,0005992595,0004497633
ALL,ALL,0005992595,0005992595,0005992595,0004497634
ALL,ALL,0005992595,0005992595,0005992595,0004497635
ALL,ALL,0005992595,0005992595,0005992595,0004497636
ALL,ALL,0005992595,0005992595,0005992595,0004497637
ALL,ALL,0005992595,0005992595,0005992595,0004497638
ALL,ALL,0005992595,0005992595,0005992595,0004497639
ALL,ALL,0005992595,0005992595,0005992595,0004497640
ALL,ALL,0005992595,0005992595,0005992595,0004497641
ALL,ALL,0005992595,0005992595,0005992595,0004497642
ALL,ALL,0005992595,0005992595,0005992595,0004497643
ALL,ALL,0005992595,0005992595,0005992595,0004497644
ALL,ALL,0005992595,0005992595,0005992595,0004497645
ALL,ALL,0005992595,0005992595,0005992595,0004497646
ALL,ALL,0005992595,0005992595,0005992595,0004497647
ALL,ALL,0005992595,0005992595,0005992595,0004497648
ALL,ALL,0005992595,0005992595,0005992595,0004497649
ALL,ALL,0005992595,0005992595,0005992595,0004497650
ALL,ALL,0005992595,0005992595,0005992595,0004497651
ALL,ALL,0005992595,0005992595,0005992595,0004497652
ALL,ALL,0005992595,0005992595,0005992595,0004497653
ALL,ALL,0005992595,0005992595,0005992595,0004497654
ALL,ALL,0005992595,0005992595,0005992595,0004497655
ALL,ALL,0005992595,0005992595,0005992595,0004497656
ALL,ALL,0005992595,0005992595,0005992595,0004497657
ALL,ALL,0005992595,0005992595,0005992595,0004497658
ALL,ALL,0005992595,0005992595,0005992595,0004497659
ALL,ALL,0005992595,0005992595,0005992595,0004497660
ALL,ALL,0005992595,0005992595,0005992595,0004497661
ALL,ALL,0005992595,0005992595,0005992595,0004497662
ALL,ALL,0005992595,0005992595,0005992595,0004497663
ALL,ALL,0005992595,0005992595,0005992595,0004497664
ALL,ALL,0005992595,0005992595,0005992595,0004497665
ALL,ALL,0005992595,0005992595,0005992595,0004497666
ALL,ALL,0005992595,0005992595,0005992595,0004497667
ALL,ALL,0005992595,0005992595,0005992595,0004497668
ALL,ALL,0005992595,0005992595,0005992595,0004497669
ALL,ALL,0005992595,0005992595,0005992595,0004497670
ALL,ALL,0005992595,0005992595,0005992595,0004497671
ALL,ALL,0005992595,0005992595,0005992595,0004497672
ALL,ALL,0005992595,0005992595,0005992595,0004497673
ALL,ALL,0005992595,0005992595,0005992595,0004497674
ALL,ALL,0005992595,0005992595,0005992595,0004497675
ALL,ALL,0005992595,0005992595,0005992595,0004497676
ALL,ALL,0005992595,0005992595,0005992595,0004497677
ALL,ALL,0005992595,0005992595,0005992595,0004497678
ALL,ALL,0005992595,0005992595,0005992595,0004497679
ALL,ALL,0005992595,0005992595,0005992595,0004497680
ALL,ALL,0005992595,0005992595,0005992595,0004497681
ALL,ALL,0005992595,0005992595,0005992595,0004497682
ALL,ALL,0005992595,0005992595,0005992595,0004497683
ALL,ALL,0005992595,0005992595,0005992595,0004497684
ALL,ALL,0005992595,0005992595,0005992595,0004497685
ALL,ALL,0005992595,0005992595,0005992595,0004497686
ALL,ALL,0005992595,0005992595,0005992595,0004497687
ALL,ALL,0005992595,0005992595,0005992595,0004497688
ALL,ALL,0005992595,0005992595,0005992595,0004497689
ALL,ALL,0005992595,0005992595,0005992595,0004497690
ALL,ALL,0005992595,0005992595,0005992595,0004497691
ALL,ALL,0005992595,0005992595,0005992595,0004497692
ALL,ALL,0005992595,0005992595,0005992595,0004497693
ALL,ALL,0005992595,0005992595,0005992595,0004497694
ALL,ALL,0005992595,0005992595,0005992595,0004497695
ALL,ALL,0005992595,0005992595,0005992595,0004497696
ALL,ALL,0005992595,0005992595,0005992595,0004497697
ALL,ALL,0005992595,0005992595,0005992595,0004497698
ALL,ALL,0005992595,0005992595,0005992595,0004497699
ALL,ALL,0005992595,0005992595,0005992595,0004497700
ALL,ALL,0005992595,0005992595,0005992595,0004497701
ALL,ALL,0005992595,0005992595,0005992595,0004497702
ALL,ALL,0005992595,0005992595,0005992595,0004497703
ALL,ALL,0005992595,0005992595,0005992595,0004497704
ALL,ALL,0005992595,0005992595,0005992595,0004497705
ALL,ALL,0005992595,0005992595,0005992595,0004497706
ALL,ALL,0005992595,0005992595,0005992595,0004497707
ALL,ALL,0005992595,0005992595,0005992595,0004497708
ALL,ALL,0005992595,0005992595,0005992595,0004497709
ALL,ALL,0005992595,0005992595,0005992595,0004497710
ALL,ALL,0005992595,0005992595,0005992595,0004497711
ALL,ALL,0005992595,0005992595,0005992595,0004497712
ALL,ALL,0005992595,0005992595,0005992595,0004497713
ALL,ALL,0005992595,0005992595,0005992595,0004497714
ALL,ALL,0005992595,0005992595,0005992595,0004497715
ALL,ALL,0005992595,0005992595,0005992595,0004497716
ALL,ALL,0005992595,0005992595,0005992595,0004497717
ALL,ALL,0005992595,0005992595,0005992595,0004497718
ALL,ALL,0005992595,0005992595,0005992595,0004497719
ALL,ALL,0005992595,0005992595,0005992595,0004497720
ALL,ALL,0005992595,0005992595,0005992595,0004497721
ALL,ALL,0005992595,0005992595,0005992595,0004497722
ALL,ALL,0005992595,0005992595,0005992595,0004497723
ALL,ALL,0005992595,0005992595,0005992595,0004497724
ALL,ALL,0005992595,0005992595,0005992595,0004497725
ALL,ALL,0005992595,0005992595,0005992595,0004497726
ALL,ALL,0005992595,0005992595,0005992595,0004497727
ALL,ALL,0005992595,0005992595,0005992595,0004497728
ALL,ALL,0005992595,0005992595,0005992595,0004497729
ALL,ALL,0005992595,0005992595,0005992595,0004497730
ALL,ALL,0005992595,0005992595,0005992595,0004497731
ALL,ALL,0005992595,0005992595,0005992595,0004497732
ALL,ALL,0005992595,0005992595,0005992595,0004497733
ALL,ALL,0005992595,0005992595,0005992595,0004497734
ALL,ALL,0005992595,0005992595,0005992595,0004497735
ALL,ALL,0005992595,0005992595,0005992595,0004497736
ALL,ALL,0005992595,0005992595,0005992595,0004497737
ALL,ALL,0005992595,0005992595,0005992595,0004497738
ALL,ALL,0005992595,0005992595,0005992595,0004497739
ALL,ALL,0005992595,0005992595,0005992595,0004497740
ALL,ALL,0005992595,0005992595,0005992595,0004497741
ALL,ALL,0005992595,0005992595,0005992595,0004497742
ALL,ALL,0005992595,0005992595,0005992595,0004497743
ALL,ALL,0005992595,0005992595,0005992595,0004497744
ALL,ALL,0005992595,0005992595,0005992595,0004497745
