Sales Domain.[All Sales Domain],Sales Domain.[Division],Sales Domain.[Channel Group],Sales Domain.[Channel],Sales Domain.[Customer Group],Sales Domain.[Sold To]
ALL,ALL,0005644000,0005644000,0005644000,0001082191
ALL,ALL,0004322613,0004322613,0004322613,0001082192
ALL,ALL,0005644000,0005644000,0005644000,0001082196
ALL,ALL,0005641464,0005641464,0005641464,0001082200
ALL,ALL,0005076999,0005076999,0005076999,0001082210
ALL,ALL,0005641461,0005641461,0005641461,0001082247
ALL,ALL,0005338739,0005338739,0005338739,0001082258
ALL,ALL,0005338739,0005338739,0005338739,0001082259
ALL,ALL,0005338739,0005338739,0005338739,0001082260
ALL,ALL,0005339184,0005339184,0005339184,0001082269
ALL,ALL,0001108300,0001108300,0001108300,0001082274
ALL,ALL,0001108300,0001108300,0001108300,0001082276
ALL,ALL,0005641466,0005641466,0005641466,0001082287
ALL,ALL,0001108300,0001108300,0001108300,0001082288
ALL,ALL,0005339178,0005339178,0005339178,0001082295
ALL,ALL,0004322613,0004322613,0004322613,0001082296
ALL,ALL,0001108302,0001108302,0001108302,0001082298
ALL,ALL,0005338740,0005338740,0005338740,0001082301
ALL,ALL,0005338740,0005338740,0005338740,0001082302
ALL,ALL,0005338740,0005338740,0005338740,0001082313
ALL,ALL,0005338740,0005338740,0005338740,0001082317
ALL,ALL,0004322613,0004322613,0004322613,0001082321
ALL,ALL,0005641466,0005641466,0005641466,0001082326
ALL,ALL,0005992577,0005992577,0005992577,0001082327
ALL,ALL,0005641464,0005641464,0005641464,0001082331
ALL,ALL,0005644000,0005644000,0005644000,0001082335
ALL,ALL,0002563700,0002563700,0002563700,0001082344
ALL,ALL,0005339185,0005339185,0005339185,0001082346
ALL,ALL,0005641466,0005641466,0005641466,0001082347
ALL,ALL,0005644000,0005644000,0005644000,0001082354
ALL,ALL,0005338740,0005338740,0005338740,0001082356
ALL,ALL,0005992586,0005992586,0005992586,0001082365
ALL,ALL,0004322613,0004322613,0004322613,0001082366
ALL,ALL,0005338740,0005338740,0005338740,0001082380
ALL,ALL,0005338740,0005338740,0005338740,0001082388
ALL,ALL,0005641464,0005641464,0005641464,0001082405
ALL,ALL,0005338740,0005338740,0005338740,0001082434
ALL,ALL,0005644000,0005644000,0005644000,0001082440
ALL,ALL,0005338740,0005338740,0005338740,0001082445
ALL,ALL,0005338740,0005338740,0005338740,0001082479
ALL,ALL,0002563700,0002563700,0002563700,0001082486
ALL,ALL,0005644000,0005644000,0005644000,0001082488
ALL,ALL,0005644000,0005644000,0005644000,0001082489
ALL,ALL,0005339184,0005339184,0005339184,0001082515
ALL,ALL,0005338739,0005338739,0005338739,0001082521
ALL,ALL,0005338740,0005338740,0005338740,0001082523
ALL,ALL,0005644000,0005644000,0005644000,0001082548
ALL,ALL,0005644000,0005644000,0005644000,0001082585
ALL,ALL,0005338739,0005338739,0005338739,0001082587
ALL,ALL,0005338739,0005338739,0005338739,0001082588
ALL,ALL,0005338740,0005338740,0005338740,0001082592
ALL,ALL,0004322613,0004322613,0004322613,0001082598
ALL,ALL,0005644000,0005644000,0005644000,0001082614
ALL,ALL,0005644000,0005644000,0005644000,0001082615
ALL,ALL,0005338740,0005338740,0005338740,0001082616
ALL,ALL,0005338740,0005338740,0005338740,0001082617
ALL,ALL,0005644000,0005644000,0005644000,0001082618
ALL,ALL,0005339184,0005339184,0005339184,0001082637
ALL,ALL,0005641465,0005641465,0005641465,0001082680
ALL,ALL,0005339184,0005339184,0005339184,0001082695
ALL,ALL,0005338740,0005338740,0005338740,0001082704
ALL,ALL,0005644000,0005644000,0005644000,0001082705
ALL,ALL,0005992595,0005992595,0005992595,0001082706
ALL,ALL,0004322613,0004322613,0004322613,0001082707
ALL,ALL,0002172197,0002172197,0002172197,0001082717
ALL,ALL,0002172197,0002172197,0002172197,0001082718
ALL,ALL,0002172197,0002172197,0002172197,0001082719
ALL,ALL,0005644000,0005644000,0005644000,0001082728
ALL,ALL,0005644000,0005644000,0005644000,0001082729
ALL,ALL,0002172197,0002172197,0002172197,0001082730
ALL,ALL,0002172197,0002172197,0002172197,0001082731
ALL,ALL,0002172197,0002172197,0002172197,0001082732
ALL,ALL,0002172197,0002172197,0002172197,0001082733
ALL,ALL,0005641461,0005641461,0005641461,0001082738
ALL,ALL,0005338740,0005338740,0005338740,0001082742
ALL,ALL,0002172197,0002172197,0002172197,0001082745
ALL,ALL,0001108349,0001108349,0001108349,0001082750
ALL,ALL,0001108349,0001108349,0001108349,0001082751
ALL,ALL,0005644000,0005644000,0005644000,0001082763
ALL,ALL,0005641466,0005641466,0005641466,0001082783
ALL,ALL,0005338740,0005338740,0005338740,0001082786
ALL,ALL,0005338740,0005338740,0005338740,0001082788
ALL,ALL,0001108325,0001108325,0001108325,0001082796
ALL,ALL,0005338740,0005338740,0005338740,0001082801
ALL,ALL,0005339009,0005339009,0005339009,0001082805
ALL,ALL,0002563700,0002563700,0002563700,0001082823
ALL,ALL,0005641461,0005641461,0005641461,0001082824
ALL,ALL,0005339184,0005339184,0005339184,0001082825
ALL,ALL,0005338740,0005338740,0005338740,0001082830
ALL,ALL,0005338740,0005338740,0005338740,0001082840
ALL,ALL,0005338740,0005338740,0005338740,0001082856
ALL,ALL,0005644000,0005644000,0005644000,0001082860
ALL,ALL,0005641466,0005641466,0005641466,0001082863
ALL,ALL,0005986680,0005986680,0005986680,0001082866
ALL,ALL,0005992586,0005992586,0005992586,0001082867
ALL,ALL,0005986680,0005986680,0005986680,0001082868
ALL,ALL,0005992586,0005992586,0005992586,0001082869
ALL,ALL,0005643999,0005643999,0005643999,0001082870
ALL,ALL,0005992604,0005992604,0005992604,0001082871
ALL,ALL,0005643999,0005643999,0005643999,0001082872
ALL,ALL,0005643999,0005643999,0005643999,0001082873
ALL,ALL,0005641464,0005641464,0005641464,0001082874
ALL,ALL,0005643999,0005643999,0005643999,0001082875
ALL,ALL,0005992605,0005992605,0005992605,0001082876
ALL,ALL,0005986680,0005986680,0005986680,0001082877
ALL,ALL,0005986680,0005986680,0005986680,0001082878
ALL,ALL,0005986680,0005986680,0005986680,0001082879
ALL,ALL,0005986680,0005986680,0005986680,0001082880
ALL,ALL,0005986680,0005986680,0005986680,0001082881
ALL,ALL,0005986680,0005986680,0005986680,0001082882
ALL,ALL,0005992586,0005992586,0005992586,0001082883
ALL,ALL,0005992604,0005992604,0005992604,0001082884
ALL,ALL,0005992586,0005992586,0005992586,0001082885
ALL,ALL,0005986680,0005986680,0005986680,0001082886
ALL,ALL,0005986680,0005986680,0005986680,0001082887
ALL,ALL,0005986680,0005986680,0005986680,0001082888
ALL,ALL,0005986680,0005986680,0005986680,0001082889
ALL,ALL,0005986680,0005986680,0005986680,0001082890
ALL,ALL,0005986680,0005986680,0005986680,0001082891
ALL,ALL,0005992604,0005992604,0005992604,0001082892
